coverage,risk
5.420000000000000338e-03,2.583025830258302569e-01
5.440000000000000391e-03,2.573529411764705621e-01
5.459999999999999576e-03,2.600732600732600930e-01
5.479999999999999628e-03,2.591240875912408925e-01
5.499999999999999681e-03,2.618181818181818388e-01
5.519999999999999733e-03,2.644927536231884146e-01
5.539999999999999786e-03,2.635379061371841414e-01
5.559999999999999838e-03,2.661870503597122406e-01
5.579999999999999891e-03,2.688172043010752521e-01
5.599999999999999943e-03,2.678571428571428492e-01
5.619999999999999996e-03,2.669039145907473043e-01
5.640000000000000048e-03,2.659574468085106336e-01
5.660000000000000100e-03,2.685512367491166286e-01
5.680000000000000153e-03,2.676056338028168780e-01
5.700000000000000205e-03,2.666666666666666630e-01
5.720000000000000258e-03,2.657342657342657288e-01
5.740000000000000310e-03,2.648083623693379685e-01
5.760000000000000363e-03,2.638888888888888951e-01
5.780000000000000415e-03,2.629757785467127795e-01
5.799999999999999600e-03,2.620689655172414034e-01
5.819999999999999653e-03,2.611683848797251017e-01
5.839999999999999705e-03,2.602739726027397116e-01
5.859999999999999758e-03,2.593856655290102120e-01
5.879999999999999810e-03,2.585034013605442271e-01
5.899999999999999863e-03,2.576271186440677874e-01
5.919999999999999915e-03,2.567567567567567433e-01
5.939999999999999968e-03,2.558922558922558932e-01
5.960000000000000020e-03,2.583892617449664586e-01
5.980000000000000072e-03,2.575250836120401288e-01
6.000000000000000125e-03,2.566666666666666541e-01
6.020000000000000177e-03,2.558139534883721034e-01
6.040000000000000230e-03,2.549668874172185684e-01
6.060000000000000282e-03,2.541254125412541476e-01
6.080000000000000335e-03,2.532894736842105088e-01
6.100000000000000387e-03,2.524590163934426479e-01
6.119999999999999572e-03,2.516339869281045694e-01
6.139999999999999625e-03,2.540716612377850181e-01
6.159999999999999677e-03,2.532467532467532201e-01
6.179999999999999730e-03,2.556634304207119901e-01
6.199999999999999782e-03,2.548387096774193394e-01
6.219999999999999835e-03,2.540192926045016231e-01
6.239999999999999887e-03,2.564102564102563875e-01
6.259999999999999939e-03,2.587859424920127549e-01
6.279999999999999992e-03,2.579617834394904441e-01
6.300000000000000044e-03,2.571428571428571175e-01
6.320000000000000097e-03,2.563291139240506111e-01
6.340000000000000149e-03,2.586750788643533139e-01
6.360000000000000202e-03,2.578616352201257844e-01
6.380000000000000254e-03,2.601880877742946963e-01
6.400000000000000307e-03,2.625000000000000111e-01
6.420000000000000359e-03,2.616822429906541791e-01
6.440000000000000412e-03,2.608695652173912971e-01
6.459999999999999597e-03,2.631578947368420907e-01
6.479999999999999649e-03,2.623456790123456783e-01
6.499999999999999702e-03,2.615384615384615530e-01
6.519999999999999754e-03,2.607361963190183984e-01
6.539999999999999807e-03,2.599388379204892741e-01
6.559999999999999859e-03,2.591463414634146423e-01
6.579999999999999911e-03,2.613981762917932938e-01
6.599999999999999964e-03,2.606060606060606188e-01
6.620000000000000016e-03,2.598187311178247749e-01
6.640000000000000069e-03,2.590361445783132543e-01
6.660000000000000121e-03,2.582582582582582664e-01
6.680000000000000174e-03,2.574850299401197362e-01
6.700000000000000226e-03,2.567164179104477473e-01
6.720000000000000279e-03,2.559523809523809312e-01
6.740000000000000331e-03,2.551928783382789168e-01
6.760000000000000384e-03,2.544378698224852298e-01
6.779999999999999569e-03,2.536873156342183133e-01
6.799999999999999621e-03,2.529411764705882248e-01
6.819999999999999674e-03,2.521994134897360684e-01
6.839999999999999726e-03,2.514619883040935533e-01
6.859999999999999779e-03,2.507288629737609575e-01
6.879999999999999831e-03,2.500000000000000000e-01
6.899999999999999883e-03,2.521739130434782483e-01
6.919999999999999936e-03,2.514450867052023253e-01
6.939999999999999988e-03,2.507204610951008772e-01
6.960000000000000041e-03,2.500000000000000000e-01
6.980000000000000093e-03,2.492836676217765057e-01
7.000000000000000146e-03,2.485714285714285821e-01
7.020000000000000198e-03,2.478632478632478708e-01
7.040000000000000251e-03,2.471590909090909116e-01
7.060000000000000303e-03,2.464589235127478684e-01
7.080000000000000356e-03,2.457627118644067910e-01
7.100000000000000408e-03,2.450704225352112742e-01
7.119999999999999593e-03,2.443820224719100986e-01
7.139999999999999646e-03,2.436974789915966333e-01
7.159999999999999698e-03,2.430167597765363063e-01
7.179999999999999750e-03,2.451253481894150321e-01
7.199999999999999803e-03,2.444444444444444364e-01
7.219999999999999855e-03,2.465373961218836618e-01
7.239999999999999908e-03,2.458563535911602316e-01
7.259999999999999960e-03,2.479338842975206680e-01
7.280000000000000013e-03,2.472527472527472625e-01
7.300000000000000065e-03,2.465753424657534110e-01
7.320000000000000118e-03,2.459016393442622905e-01
7.340000000000000170e-03,2.452316076294278058e-01
7.360000000000000223e-03,2.445652173913043514e-01
7.380000000000000275e-03,2.439024390243902385e-01
7.400000000000000328e-03,2.432432432432432567e-01
7.420000000000000380e-03,2.452830188679245293e-01
7.440000000000000432e-03,2.446236559139784994e-01
7.459999999999999618e-03,2.466487935656836439e-01
7.479999999999999670e-03,2.486631016042780695e-01
7.499999999999999722e-03,2.479999999999999982e-01
7.519999999999999775e-03,2.500000000000000000e-01
7.539999999999999827e-03,2.519893899204244114e-01
7.559999999999999880e-03,2.539682539682539542e-01
7.579999999999999932e-03,2.532981530343008103e-01
7.599999999999999985e-03,2.552631578947368585e-01
7.620000000000000037e-03,2.545931758530183830e-01
7.640000000000000090e-03,2.539267015706806463e-01
7.660000000000000142e-03,2.532637075718015551e-01
7.680000000000000195e-03,2.526041666666666852e-01
7.700000000000000247e-03,2.545454545454545192e-01
7.720000000000000299e-03,2.538860103626943143e-01
7.740000000000000352e-03,2.532299741602067056e-01
7.760000000000000404e-03,2.525773195876288568e-01
7.779999999999999589e-03,2.519280205655526905e-01
7.799999999999999642e-03,2.512820512820512775e-01
7.820000000000000562e-03,2.506393861892582953e-01
7.839999999999999747e-03,2.525510204081632404e-01
7.860000000000000667e-03,2.519083969465648609e-01
7.879999999999999852e-03,2.512690355329948999e-01
7.900000000000000772e-03,2.506329113924050667e-01
7.919999999999999957e-03,2.500000000000000000e-01
7.939999999999999142e-03,2.493702770780856504e-01
7.960000000000000062e-03,2.487437185929648187e-01
7.979999999999999247e-03,2.506265664160400863e-01
