coverage,risk
1.315235690235690178e-05,0.000000000000000000e+00
2.630471380471380356e-05,0.000000000000000000e+00
3.945707070707071042e-05,0.000000000000000000e+00
5.260942760942760712e-05,0.000000000000000000e+00
6.576178451178451060e-05,0.000000000000000000e+00
7.891414141414142085e-05,0.000000000000000000e+00
9.206649831649831755e-05,0.000000000000000000e+00
1.052188552188552142e-04,0.000000000000000000e+00
1.183712121212121245e-04,0.000000000000000000e+00
1.315235690235690212e-04,0.000000000000000000e+00
1.446759259259259179e-04,0.000000000000000000e+00
1.578282828282828417e-04,0.000000000000000000e+00
1.709806397306397384e-04,0.000000000000000000e+00
1.841329966329966351e-04,0.000000000000000000e+00
1.972853535353535318e-04,0.000000000000000000e+00
2.104377104377104285e-04,0.000000000000000000e+00
2.235900673400673523e-04,0.000000000000000000e+00
2.367424242424242490e-04,0.000000000000000000e+00
2.498947811447811457e-04,0.000000000000000000e+00
2.630471380471380424e-04,0.000000000000000000e+00
2.761994949494949391e-04,0.000000000000000000e+00
2.893518518518518358e-04,0.000000000000000000e+00
3.025042087542087325e-04,0.000000000000000000e+00
3.156565656565656834e-04,0.000000000000000000e+00
3.288089225589225801e-04,0.000000000000000000e+00
3.419612794612794768e-04,0.000000000000000000e+00
3.551136363636363735e-04,0.000000000000000000e+00
3.682659932659932702e-04,0.000000000000000000e+00
3.814183501683501669e-04,0.000000000000000000e+00
3.945707070707070636e-04,0.000000000000000000e+00
4.077230639730639603e-04,0.000000000000000000e+00
4.208754208754208570e-04,0.000000000000000000e+00
4.340277777777777537e-04,0.000000000000000000e+00
4.471801346801347046e-04,0.000000000000000000e+00
4.603324915824916013e-04,0.000000000000000000e+00
4.734848484848484980e-04,0.000000000000000000e+00
4.866372053872053947e-04,0.000000000000000000e+00
4.997895622895622914e-04,0.000000000000000000e+00
5.129419191919192423e-04,0.000000000000000000e+00
5.260942760942760848e-04,0.000000000000000000e+00
5.392466329966330357e-04,0.000000000000000000e+00
5.523989898989898782e-04,0.000000000000000000e+00
5.655513468013468291e-04,0.000000000000000000e+00
5.787037037037036716e-04,0.000000000000000000e+00
5.918560606060606225e-04,0.000000000000000000e+00
6.050084175084174650e-04,0.000000000000000000e+00
6.181607744107744159e-04,0.000000000000000000e+00
6.313131313131313668e-04,0.000000000000000000e+00
6.444654882154882093e-04,0.000000000000000000e+00
6.576178451178451602e-04,0.000000000000000000e+00
6.707702020202020027e-04,0.000000000000000000e+00
6.839225589225589536e-04,0.000000000000000000e+00
6.970749158249157961e-04,0.000000000000000000e+00
7.102272727272727470e-04,0.000000000000000000e+00
7.233796296296295895e-04,0.000000000000000000e+00
7.365319865319865404e-04,0.000000000000000000e+00
7.496843434343433829e-04,0.000000000000000000e+00
7.628367003367003338e-04,0.000000000000000000e+00
7.759890572390572847e-04,0.000000000000000000e+00
7.891414141414141272e-04,0.000000000000000000e+00
8.022937710437710781e-04,0.000000000000000000e+00
8.154461279461279206e-04,0.000000000000000000e+00
8.285984848484848715e-04,0.000000000000000000e+00
8.417508417508417140e-04,0.000000000000000000e+00
8.549031986531986649e-04,0.000000000000000000e+00
8.680555555555555074e-04,0.000000000000000000e+00
8.812079124579124583e-04,0.000000000000000000e+00
8.943602693602694092e-04,0.000000000000000000e+00
9.075126262626262517e-04,0.000000000000000000e+00
9.206649831649832026e-04,0.000000000000000000e+00
9.338173400673400451e-04,0.000000000000000000e+00
9.469696969696969960e-04,0.000000000000000000e+00
9.601220538720538385e-04,0.000000000000000000e+00
9.732744107744107894e-04,0.000000000000000000e+00
9.864267676767677403e-04,0.000000000000000000e+00
9.995791245791245828e-04,0.000000000000000000e+00
1.012731481481481425e-03,0.000000000000000000e+00
1.025883838383838485e-03,0.000000000000000000e+00
1.039036195286195327e-03,0.000000000000000000e+00
1.052188552188552170e-03,0.000000000000000000e+00
1.065340909090909012e-03,0.000000000000000000e+00
1.078493265993266071e-03,0.000000000000000000e+00
1.091645622895622914e-03,0.000000000000000000e+00
1.104797979797979756e-03,0.000000000000000000e+00
1.117950336700336599e-03,0.000000000000000000e+00
1.131102693602693658e-03,0.000000000000000000e+00
1.144255050505050501e-03,0.000000000000000000e+00
1.157407407407407343e-03,0.000000000000000000e+00
1.170559764309764402e-03,0.000000000000000000e+00
1.183712121212121245e-03,0.000000000000000000e+00
1.196864478114478087e-03,0.000000000000000000e+00
1.210016835016834930e-03,0.000000000000000000e+00
1.223169191919191989e-03,0.000000000000000000e+00
1.236321548821548832e-03,0.000000000000000000e+00
1.249473905723905674e-03,0.000000000000000000e+00
