method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.674008,0.466997,0.215185
MSP,Clean ID vs Near-OOD (CIFAR-100),0.870761,0.872142,0.252335
MSP,Clean ID vs Far-OOD (SVHN),0.911970,0.958981,0.451203
LogitNorm-MSP,Clean ID vs Noisy ID,0.579254,0.373709,0.271191
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-100),0.818184,0.819551,0.282173
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.829744,0.918657,0.504340
Mahalanobis,Clean ID vs Noisy ID,0.579779,0.411005,0.282458
Mahalanobis,Clean ID vs Near-OOD (CIFAR-100),0.484876,0.504977,0.523256
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.238028,0.592952,0.869369
Trajectory,Clean ID vs Noisy ID,0.862845,0.754627,0.114796
Trajectory,Clean ID vs Near-OOD (CIFAR-100),0.767184,0.729204,0.296034
Trajectory,Clean ID vs Far-OOD (SVHN),0.886323,0.939296,0.458402
