method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.690535,0.478336,0.204183
MSP,Clean ID vs Near-OOD (CIFAR-100),0.858674,0.855344,0.257544
MSP,Clean ID vs Far-OOD (SVHN),0.911147,0.957143,0.446047
LogitNorm-MSP,Clean ID vs Noisy ID,0.587705,0.386565,0.273175
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-100),0.814091,0.819697,0.286173
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.829135,0.922948,0.508473
Mahalanobis,Clean ID vs Noisy ID,0.575059,0.407139,0.284747
Mahalanobis,Clean ID vs Near-OOD (CIFAR-100),0.494885,0.512038,0.519030
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.204468,0.580434,0.883300
Trajectory,Clean ID vs Noisy ID,0.868528,0.776248,0.113929
Trajectory,Clean ID vs Near-OOD (CIFAR-100),0.761243,0.732710,0.302324
Trajectory,Clean ID vs Far-OOD (SVHN),0.899502,0.954704,0.454576
