method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.703469,0.490123,0.192442
MSP,Clean ID vs Near-OOD (CIFAR-100),0.862186,0.852287,0.252766
MSP,Clean ID vs Far-OOD (SVHN),0.904827,0.953050,0.448285
LogitNorm-MSP,Clean ID vs Noisy ID,0.630196,0.423604,0.239591
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-100),0.826030,0.830684,0.276183
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.833679,0.925615,0.502935
Mahalanobis,Clean ID vs Noisy ID,0.559559,0.392847,0.295257
Mahalanobis,Clean ID vs Near-OOD (CIFAR-100),0.472979,0.499101,0.537849
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.255373,0.602598,0.865131
Trajectory,Clean ID vs Noisy ID,0.863554,0.764680,0.115645
Trajectory,Clean ID vs Near-OOD (CIFAR-100),0.760618,0.728051,0.301565
Trajectory,Clean ID vs Far-OOD (SVHN),0.882196,0.942089,0.462647
