method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.660997,0.450429,0.219177
MSP,Clean ID vs Near-OOD (CIFAR-100),0.821096,0.806754,0.276959
MSP,Clean ID vs Far-OOD (SVHN),0.835999,0.916721,0.493047
LogitNorm-MSP,Clean ID vs Noisy ID,0.579798,0.385443,0.273774
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-100),0.763431,0.771401,0.317074
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.718849,0.865991,0.583340
Mahalanobis,Clean ID vs Noisy ID,0.581025,0.414319,0.275394
Mahalanobis,Clean ID vs Near-OOD (CIFAR-100),0.487225,0.508593,0.521788
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.199913,0.582094,0.889277
Trajectory,Clean ID vs Noisy ID,0.866738,0.767231,0.113693
Trajectory,Clean ID vs Near-OOD (CIFAR-100),0.744641,0.711289,0.311119
Trajectory,Clean ID vs Far-OOD (SVHN),0.870807,0.936462,0.471784
