method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.698298,0.496252,0.207447
MSP,Clean ID vs Near-OOD (CIFAR-100),0.869955,0.868952,0.253855
MSP,Clean ID vs Far-OOD (SVHN),0.900045,0.953275,0.460080
LogitNorm-MSP,Clean ID vs Noisy ID,0.623491,0.431593,0.246815
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-100),0.824616,0.834389,0.280088
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.838238,0.927894,0.501299
Mahalanobis,Clean ID vs Noisy ID,0.575042,0.413892,0.285515
Mahalanobis,Clean ID vs Near-OOD (CIFAR-100),0.479283,0.510510,0.533273
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.249145,0.598673,0.862419
Trajectory,Clean ID vs Noisy ID,0.861384,0.755784,0.116059
Trajectory,Clean ID vs Near-OOD (CIFAR-100),0.774388,0.745030,0.293992
Trajectory,Clean ID vs Far-OOD (SVHN),0.892752,0.950628,0.460561
