method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.613774,0.823489,0.691751
MSP,Clean ID vs Near-OOD (CIFAR-10),0.778118,0.822619,0.393579
MSP,Clean ID vs Far-OOD (SVHN),0.820672,0.939013,0.601470
LogitNorm-MSP,Clean ID vs Noisy ID,0.616527,0.826220,0.689551
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-10),0.810450,0.849833,0.376132
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.850939,0.950382,0.591318
Mahalanobis,Clean ID vs Noisy ID,0.488616,0.763789,0.774595
Mahalanobis,Clean ID vs Near-OOD (CIFAR-10),0.411682,0.553275,0.669404
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.166581,0.657620,0.936508
Trajectory,Clean ID vs Noisy ID,0.767550,0.906743,0.587787
Trajectory,Clean ID vs Near-OOD (CIFAR-10),0.673733,0.732254,0.468577
Trajectory,Clean ID vs Far-OOD (SVHN),0.855461,0.955284,0.593966
