method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.603182,0.819489,0.694768
MSP,Clean ID vs Near-OOD (CIFAR-10),0.716456,0.776064,0.443145
MSP,Clean ID vs Far-OOD (SVHN),0.711701,0.896182,0.666960
LogitNorm-MSP,Clean ID vs Noisy ID,0.614555,0.825675,0.690462
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-10),0.746837,0.807345,0.440237
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.689683,0.890670,0.686502
Mahalanobis,Clean ID vs Noisy ID,0.507078,0.770767,0.760523
Mahalanobis,Clean ID vs Near-OOD (CIFAR-10),0.436579,0.564828,0.648926
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.203577,0.671059,0.924225
Trajectory,Clean ID vs Noisy ID,0.769531,0.907226,0.585467
Trajectory,Clean ID vs Near-OOD (CIFAR-10),0.666528,0.725634,0.476173
Trajectory,Clean ID vs Far-OOD (SVHN),0.853533,0.956036,0.594762
