method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.360320,0.581266,0.747929
MSP,Clean ID vs Near-OOD (CIFAR-10),0.568246,0.549472,0.424914
MSP,Clean ID vs Far-OOD (SVHN),0.578835,0.767658,0.646193
LogitNorm-MSP,Clean ID vs Noisy ID,0.368181,0.578433,0.734200
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-10),0.606086,0.571401,0.394096
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.596780,0.766827,0.626575
Mahalanobis,Clean ID vs Noisy ID,0.531729,0.691977,0.646565
Mahalanobis,Clean ID vs Near-OOD (CIFAR-10),0.475633,0.472150,0.506506
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.221467,0.568881,0.869940
Trajectory,Clean ID vs Noisy ID,0.647890,0.771157,0.545202
Trajectory,Clean ID vs Near-OOD (CIFAR-10),0.528869,0.511599,0.456180
Trajectory,Clean ID vs Far-OOD (SVHN),0.759422,0.887031,0.542969
