method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.612157,0.824058,0.691630
MSP,Clean ID vs Near-OOD (CIFAR-10),0.815993,0.856267,0.373226
MSP,Clean ID vs Far-OOD (SVHN),0.855631,0.952433,0.582036
LogitNorm-MSP,Clean ID vs Noisy ID,0.615711,0.827045,0.688382
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-10),0.837511,0.879113,0.363020
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.876441,0.961520,0.577041
Mahalanobis,Clean ID vs Noisy ID,0.515716,0.776056,0.758782
Mahalanobis,Clean ID vs Near-OOD (CIFAR-10),0.428570,0.563903,0.660081
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.222238,0.678298,0.918680
Trajectory,Clean ID vs Noisy ID,0.773118,0.909753,0.585345
Trajectory,Clean ID vs Near-OOD (CIFAR-10),0.678892,0.738488,0.465666
Trajectory,Clean ID vs Far-OOD (SVHN),0.837252,0.950307,0.604701
