method,task,auroc,auprc,aurc
MSP,Clean ID vs Noisy ID,0.621655,0.829876,0.689543
MSP,Clean ID vs Near-OOD (CIFAR-10),0.820444,0.855514,0.366419
MSP,Clean ID vs Far-OOD (SVHN),0.853640,0.950634,0.584006
LogitNorm-MSP,Clean ID vs Noisy ID,0.621419,0.831140,0.688298
LogitNorm-MSP,Clean ID vs Near-OOD (CIFAR-10),0.841596,0.879129,0.358017
LogitNorm-MSP,Clean ID vs Far-OOD (SVHN),0.879975,0.961186,0.573831
Mahalanobis,Clean ID vs Noisy ID,0.517232,0.776759,0.756090
Mahalanobis,Clean ID vs Near-OOD (CIFAR-10),0.424523,0.560071,0.660841
Mahalanobis,Clean ID vs Far-OOD (SVHN),0.208635,0.676426,0.927008
Trajectory,Clean ID vs Noisy ID,0.768466,0.906873,0.587738
Trajectory,Clean ID vs Near-OOD (CIFAR-10),0.659778,0.721120,0.477617
Trajectory,Clean ID vs Far-OOD (SVHN),0.835797,0.950128,0.605286
